"ISO3","Country","Continent","Corporate Tax Rate"
"AFG","Afghanistan","AS",20
"ALA","Aland Islands","EU",20
"ALB","Albania","EU",15
"DZA","Algeria","AF",26
"ASM","American Samoa","OC",34
"AND","Andorra","EU",10
"AGO","Angola","AF",25
"AIA","Anguilla","NO",0
"ATG","Antigua and Barbuda","NO",25
"ARG","Argentina","SA",35
"ARM","Armenia","AS",18
"ABW","Aruba","NO",25
"AUS","Australia","OC",30
"AUT","Austria","EU",25
"AZE","Azerbaijan","AS",20
"BHS","Bahamas","NO",0
"BHR","Bahrain","AS",0
"BGD","Bangladesh","AS",30
"BRB","Barbados","NO",5.5
"BLR","Belarus","EU",18
"BEL","Belgium","EU",25
"BLZ","Belize","NO",0
"BEN","Benin","AF",30
"BMU","Bermuda","NO",0
"BTN","Bhutan","AS",25
"BOL","Bolivia (Plurinational State of)","SA",25
"BES","Bonaire, Sint Eustatius and Saba","NO",25.8
"BIH","Bosnia and Herzegovina","EU",10
"BWA","Botswana","AF",22
"BRA","Brazil","SA",34
"VGB","British Virgin Islands","NO",0
"BRN","Brunei Darussalam","AS",18.5
"BGR","Bulgaria","EU",10
"BFA","Burkina Faso","AF",27.5
"BDI","Burundi","AF",30
"CPV","Cabo Verde","AF",22
"KHM","Cambodia","AS",20
"CMR","Cameroon","AF",33
"CAN","Canada","NO",26.21
"CYM","Cayman Islands","NO",0
"CAF","Central African Republic","AF",30
"TCD","Chad","AF",35
"CHL","Chile","SA",27
"CHN","China","AS",25
"HKG","China, Hong Kong Special Administrative Region","AS",16.5
"MAC","China, Macao Special Administrative Region","AS",12
"COL","Colombia","SA",35
"COM","Comoros","AF",50
"COG","Congo","AF",28
"COK","Cook Islands","OC",20
"CRI","Costa Rica","NO",30
"CIV","Cote d'Ivoire","AF",25
"HRV","Croatia","EU",18
"CUB","Cuba","NO",35
"CUW","Curacao","NO",22
"CYP","Cyprus","EU",12.5
"CZE","Czechia","EU",19
"COD","Democratic Republic of the Congo","AF",30
"DNK","Denmark","EU",22
"DJI","Djibouti","AF",25
"DMA","Dominica","NO",25
"DOM","Dominican Republic","NO",27
"ECU","Ecuador","SA",25
"EGY","Egypt","AF",22.5
"SLV","El Salvador","NO",30
"GNQ","Equatorial Guinea","AF",35
"ERI","Eritrea","AF",30
"EST","Estonia","EU",20
"ETH","Ethiopia","AF",30
"FLK","Falkland Islands (Malvinas)","SA",26
"FRO","Faroe Islands","EU",18
"FJI","Fiji","OC",20
"FIN","Finland","EU",20
"FRA","France","EU",25.825
"PYF","French Polynesia","OC",25
"GAB","Gabon","AF",30
"GMB","Gambia","AF",27
"GEO","Georgia","AS",15
"DEU","Germany","EU",29.83
"GHA","Ghana","AF",25
"GIB","Gibraltar","EU",12.5
"GRC","Greece","EU",22
"GRL","Greenland","NO",26.5
"GRD","Grenada","NO",28
"GUM","Guam","OC",21
"GTM","Guatemala","NO",25
"GGY","Guernsey","EU",0
"GIN","Guinea","AF",35
"GNB","Guinea-Bissau","AF",25
"GUY","Guyana","SA",25
"HTI","Haiti","NO",30
"HND","Honduras","NO",25
"HUN","Hungary","EU",9
"ISL","Iceland","EU",20
"IND","India","AS",30
"IDN","Indonesia","AS",22
"IRN","Iran (Islamic Republic of)","AS",25
"IRQ","Iraq","AS",15
"IRL","Ireland","EU",12.5
"IMN","Isle of Man","EU",0
"ISR","Israel","AS",23
"ITA","Italy","EU",27.81
"JAM","Jamaica","NO",25
"JPN","Japan","AS",29.74
"JEY","Jersey","EU",0
"JOR","Jordan","AS",20
"KAZ","Kazakhstan","AS",20
"KEN","Kenya","AF",30
"KIR","Kiribati","OC",30
"XKX","Kosovo, Republic of","EU",10
"KWT","Kuwait","AS",15
"KGZ","Kyrgyzstan","AS",10
"LAO","Lao People's Democratic Republic","AS",20
"LVA","Latvia","EU",20
"LBN","Lebanon","AS",17
"LSO","Lesotho","AF",25
"LBR","Liberia","AF",25
"LBY","Libya","AF",20
"LIE","Liechtenstein","EU",12.5
"LTU","Lithuania","EU",15
"LUX","Luxembourg","EU",24.94
"MDG","Madagascar","AF",20
"MWI","Malawi","AF",30
"MYS","Malaysia","AS",24
"MDV","Maldives","AS",15
"MLI","Mali","AF",30
"MLT","Malta","EU",35
"MRT","Mauritania","AF",25
"MUS","Mauritius","AF",15
"MEX","Mexico","NO",30
"FSM","Micronesia (Federated States of)","OC",30
"MCO","Monaco","EU",25
"MNG","Mongolia","AS",25
"MNE","Montenegro","EU",15
"MSR","Montserrat","NO",30
"MAR","Morocco","AF",31
"MOZ","Mozambique","AF",32
"MMR","Myanmar","AS",22
"NAM","Namibia","AF",32
"NRU","Nauru","OC",25
"NPL","Nepal","AS",25
"NLD","Netherlands","EU",25.8
"NCL","New Caledonia","OC",30
"NZL","New Zealand","OC",28
"NIC","Nicaragua","NO",30
"NER","Niger","AF",30
"NGA","Nigeria","AF",30
"NIU","Niue","OC",30
